category,name,content
Hotel Info,Overview,"JW Marriott Hotel Bengaluru is a luxury 5-star hotel located at 24/1 Vittal Mallya Road, Bengaluru, Karnataka 560001, India. Phone: +91-80-6620-0000. Email: jwmarriott.bengaluru@marriott.com. Total rooms: 285. Star rating: 5-star. Brand: JW Marriott. Chain: Marriott Bonvoy. Check-in: 3:00 PM. Check-out: 12:00 PM."
Room,Deluxe Room,"Category: Room. The Deluxe Room is an elegant and spacious room designed for the discerning traveler with contemporary decor and premium furnishings. Size: 465 sq ft. Floor: 3 to 7. Bed options: King or Twin. Max occupancy: 2 adults. View: City View. Price: Rs 8500 per night. Amenities include complimentary Wi-Fi, 55-inch LED TV, mini bar, in-room safe, tea and coffee maker, rainfall shower, premium bath amenities, and 24-hour room service."
Room,Premier Room,"Category: Room. The Premier Room is an upgraded room with enhanced amenities offering a more elevated experience. Thoughtfully designed interiors with curated art and designer furnishings. Size: 530 sq ft. Floor: 8 to 12. Bed options: King or Twin. Max occupancy: 2 adults. View: City or Pool View. Price: Rs 11000 per night. Amenities include complimentary Wi-Fi, 55-inch LED TV, mini bar, in-room safe, Nespresso machine, rainfall shower, bathtub, premium bath amenities, turndown service, and 24-hour room service."
Room,Junior Suite,"Category: Room. The Junior Suite is a generous suite with a separate living area ideal for extended stays or business travelers requiring extra space. Features luxurious decor and panoramic city views. Size: 750 sq ft. Floor: 13 to 17. Bed: King. Max occupancy: 2 adults and 1 child. View: Panoramic City View. Price: Rs 18000 per night. Amenities include separate living room, dining area, Wi-Fi, 55-inch LED TV, mini bar, in-room safe, Nespresso machine, walk-in closet, bathtub and separate shower, premium bath amenities, turndown service, 24-hour room service, and welcome amenity."
Room,Executive Suite,"Category: Room. The Executive Suite is a spacious suite with a full living room and dedicated workspace. Includes exclusive Executive Lounge access with complimentary breakfast and evening cocktails. Size: 1100 sq ft. Floor: 18 to 22. Bed: King. Max occupancy: 2 adults and 1 child. View: Panoramic City and Garden View. Price: Rs 30000 per night. Amenities include full living room, dining area, study, Wi-Fi, 65-inch LED TV, mini bar, in-room safe, Nespresso machine, walk-in closet, dual vanity bathroom, bathtub and rain shower, premium Bulgari bath amenities, turndown service, 24-hour room service, Executive Lounge access, complimentary breakfast, and evening cocktails."
Room,JW Suite,"Category: Room. The JW Suite is a flagship suite offering the ultimate luxury experience. Handpicked art collection, curated interiors, and butler service define this exceptional stay. Size: 1600 sq ft. Floor: 23 to 26. Bed: King. Max occupancy: 2 adults and 2 children. View: 360-degree Panoramic City View. Price: Rs 55000 per night. Amenities include expansive living room, formal dining area, private study, Wi-Fi, 75-inch OLED TV, personal bar, in-room safe, Nespresso and espresso machine, walk-in wardrobe, dual vanity, freestanding bathtub, multiple showers, premium Bulgari bath amenities, 24-hour butler service, daily turndown, 24-hour room service, Executive Lounge access, complimentary breakfast and dining, and personalized welcome amenity."
Room,Presidential Suite,"Category: Room. The Presidential Suite is the pinnacle of luxury at JW Marriott Bengaluru. An extraordinary suite that redefines opulence with bespoke furnishings and exclusive privileges. Size: 2800 sq ft. Floor: 27 to 28. Bed: King. Max occupancy: 4 adults. View: Full Panoramic City and Countryside View. Price: Rs 150000 per night. Amenities include private terrace, grand living room, formal dining room, home theater, private gym, full kitchen, 3 bathrooms, 24-hour dedicated butler, personalized concierge, all-inclusive dining, private check-in and check-out, complimentary airport transfers, 24-hour room service, Executive Lounge access, and complimentary minibar restocked daily."
Dining,Spice Kitchen,"Category: Dining. Spice Kitchen is JW Marriott's signature all-day dining restaurant celebrating the diverse culinary traditions of India. Features live cooking stations across different regional cuisines. Cuisine: Indian. Hours: Breakfast 7:00 AM to 10:30 AM, Lunch 12:30 PM to 3:00 PM, Dinner 7:00 PM to 11:00 PM. Capacity: 180 covers. Dress code: Smart casual. Specialty dishes include regional Indian cuisine, live cooking stations, tandoor kebabs, biryanis, South Indian dishes, coastal seafood. Average cost: Rs 2500 per person. Reservations recommended. Private dining room available for up to 20 guests."
Dining,The Lounge,"Category: Dining. The Lounge is an elegant lobby lounge offering light bites, afternoon tea, and artisan cocktails in a sophisticated setting. Perfect for business meetings or casual socializing. Cuisine: Continental and Asian. Hours: All day from 7:00 AM to 12:00 AM. Capacity: 80 covers. Specialty: High tea from 3:00 PM to 6:00 PM, artisan cocktails, premium spirits, freshly baked pastries, sandwiches, and sushi. Average cost: Rs 1800 per person. Walk-ins welcome. Live music on weekends."
Dining,Ricks Bar,"Category: Dining. Ricks Bar is Bengaluru's iconic nightspot with a rich heritage. An energetic bar known for its vibrant atmosphere, themed nights, and extensive beverage menu. Cuisine: Cocktails and bar bites. Hours: 6:00 PM to 1:30 AM. Capacity: 120 covers. Specialty: Craft cocktails, signature drinks, imported spirits, draught beers, bar bites, and finger food. Average cost: Rs 2000 per person. Live DJ Wednesday to Saturday. Dress code: Smart casual."
